id,label,file,width,height,bytes,sha256,analyzedWidth,analyzedHeight,meanLuminance,contrastStandardDeviation,darkClippingPercent,highlightClippingPercent,adjacentEdgeDifference,transformation
reference,Reference encode,reference.webp,960,540,79712,8c852071b02e03d91eb264655fef14654026fa46dc32e736a2b25c2ab0a1186a,512,288,125.82,58.95,1.22,0,7.74,Resize the owned source to 960 x 540 and encode as WebP at quality 82.
low-resolution,Reduced resolution,low-resolution.webp,320,180,15358,955c0e4e97a7af8564b39733b9654d3294abd07fa014c530ca733d8708000cc0,320,180,126.22,58.81,1.1,0.01,10.55,Resize the same source to 320 x 180 and encode as WebP at quality 82.
soft-focus,Soft focus,soft-focus.webp,960,540,23616,e8edf51e0ef2b38916c858fe4aff932b14081d60ebd55552fbfc360586350886,512,288,124.8,55.19,0.16,0,2.68,"Resize to 960 x 540, apply a Gaussian blur with sigma 4.5, and encode as WebP at quality 82."
low-exposure,Low exposure,low-exposure.webp,960,540,46112,727172796e3cf8efdefd601d21177321c1bfcfbc458d629a689897aecf442769,512,288,57.18,30.37,9.22,0,3.87,"Resize to 960 x 540, apply y = 0.52x - 8 to RGB channels, clamp to 8-bit range, and encode as WebP at quality 82."
high-exposure,High exposure,high-exposure.webp,960,540,85670,f2b01d592108fea3bb82e888733d89fb7356c307cda00d6d55d587b422da957b,512,288,197.15,62.53,0,36.64,8.41,"Resize to 960 x 540, apply y = 1.35x + 45 to RGB channels, clamp to 8-bit range, and encode as WebP at quality 82."
jpeg-compression,Heavy JPEG compression,jpeg-compression.jpg,960,540,16637,cd952c4c50fb78e941a62492e7ef6c3cc2fae96abac7df87aa1f32d4106b97ae,512,288,125.58,58.95,1.29,0.01,7.45,Resize to 960 x 540 and encode as JPEG at quality 15 with 4:2:0 chroma subsampling.
